id,car_price_min,car_price_max,car_price_fee,fee_type_id
1,0,49.99,25,3
2,50,99.99,45,3
3,100,199.99,80,3
4,200,299.99,130,3
5,300,349.99,137.5,3
6,350,399.99,145,3
7,400,449.99,175,3
8,450,499.99,185,3
9,500,549.99,205,3
10,550,599.99,210,3
11,600,699.99,240,3
12,700,799.99,270,3
13,800,899.99,295,3
14,900,999.99,320,3
15,1000,1199.99,375,3
16,1200,1299.99,395,3
17,1300,1399.99,410,3
18,1400,1499.99,430,3
19,1500,1599.99,445,3
20,1600,1699.99,465,3
21,1700,1799.99,485,3
22,1800,1999.99,510,3
23,2000,2399.99,535,3
24,2400,2499.99,570,3
25,2500,2999.99,610,3
26,3000,3499.99,655,3
27,3500,3999.99,705,3
28,4000,4499.99,725,3
29,4500,4999.99,750,3
30,5000,5499.99,775,3
31,5500,5999.99,800,3
32,6000,6499.99,825,3
33,6500,6999.99,845,3
34,7000,7499.99,880,3
35,7500,7999.99,900,3
36,8000,8499.99,925,3
37,8500,8999.99,945,3
38,9000,9999.99,945,3
39,10000,10499.99,1000,3
40,10500,10999.99,1000,3
41,11000,11499.99,1000,3
42,11500,11999.99,1000,3
43,12000,12499.99,1000,3
44,12500,14999.99,1000,3
45,15000,100000000,0.075,3
46,0,49.99,1,1
47,50,99.99,1,1
48,100,199.99,25,1
49,200,299.99,50,1
50,300,349.99,75,1
51,350,399.99,75,1
52,400,449.99,110,1
53,450,499.99,110,1
54,500,549.99,125,1
55,550,599.99,130,1
56,600,699.99,140,1
57,700,799.99,155,1
58,800,899.99,170,1
59,900,999.99,185,1
60,1000,1199.99,200,1
61,1200,1299.99,225,1
62,1300,1399.99,240,1
63,1400,1499.99,250,1
64,1500,1599.99,260,1
65,1600,1699.99,275,1
66,1700,1799.99,285,1
67,1800,1999.99,300,1
68,2000,2399.99,325,1
69,2400,2499.99,335,1
70,2500,2999.99,350,1
71,3000,3499.99,400,1
72,3500,3999.99,455,1
73,4000,4499.99,600,1
74,4500,4999.99,625,1
75,5000,5499.99,625,1
76,5500,5999.99,625,1
77,6000,6499.99,675,1
78,6500,6999.99,675,1
79,7000,7499.99,675,1
80,7500,7999.99,690,1
81,8000,8499.99,715,1
82,8500,8999.99,715,1
83,9000,9999.99,715,1
84,10000,10499.99,720,1
85,10500,10999.99,720,1
86,11000,11499.99,720,1
87,11500,11999.99,720,1
88,12000,12499.99,720,1
89,12500,14999.99,720,1
90,15000,10000000,0.0575,1
91,0.01,49.99,30,4
92,50,99.99,45,4
93,100,199.99,70,4
94,200,299.99,100,4
