id,location_id,terminal_id,vehicle_type_id,price
1,1,1,3,250
2,1,1,4,175
3,2,1,3,275
4,2,1,4,200
5,3,1,1,250
6,3,1,2,175
7,4,1,1,325
8,4,1,2,225
9,5,1,1,500
10,5,1,2,300
11,6,1,3,500
12,6,1,4,300
13,7,1,3,550
14,7,1,4,325
15,8,1,3,275
16,8,1,4,200
17,9,1,1,250
18,9,1,2,175
19,10,1,3,400
20,10,1,4,250
21,11,1,3,250
22,11,1,4,175
23,12,1,1,100
24,12,1,2,100
25,13,1,3,250
26,13,1,4,175
27,14,1,3,100
28,14,1,4,100
29,15,1,3,250
30,15,1,4,175
31,16,1,3,250
32,16,1,4,175
33,17,1,3,225
34,17,1,4,175
35,18,1,1,250
36,18,1,2,175
37,19,1,1,275
38,19,1,2,200
39,20,1,3,500
40,20,1,4,300
41,21,1,3,325
42,21,1,4,225
43,22,1,1,350
44,22,1,2,225
45,23,1,1,225
46,23,1,2,175
47,24,1,1,250
48,24,1,2,175
49,25,1,1,100
50,25,1,2,100
51,26,1,1,125
52,26,1,2,125
53,27,1,3,250
54,27,1,4,175
55,28,1,1,400
56,28,1,2,250
57,29,1,1,500
58,29,1,2,300
59,30,1,1,400
60,30,1,2,275
61,31,1,1,300
62,31,1,2,250
63,32,1,3,350
64,32,1,4,225
65,33,1,1,275
66,33,1,2,200
67,34,1,3,250
68,34,1,4,175
69,35,1,1,500
70,35,1,2,300
71,36,1,3,350
72,36,1,4,250
73,37,1,3,500
74,37,1,4,300
75,38,2,1,200
76,38,2,2,200
77,39,2,1,225
78,39,2,2,200
79,40,3,1,350
80,40,3,2,225
81,41,4,1,500
82,41,4,2,300
83,42,4,1,250
84,42,4,2,175
85,43,4,1,400
86,43,4,2,275
87,44,2,1,200
88,44,2,2,200
89,45,3,1,350
90,45,3,2,225
91,46,5,1,450
92,46,5,2,275
93,47,3,1,275
94,47,3,2,200
95,48,3,1,300
96,48,3,2,200
97,49,3,1,300
98,49,3,2,200
99,50,3,3,300
100,50,3,4,200
101,51,4,1,125
102,51,4,2,125
103,52,4,1,300
104,52,4,2,200
105,53,3,1,400
106,53,3,2,250
107,54,4,1,300
108,54,4,2,200
109,55,5,1,375
110,55,5,2,250
