id,name,city,state,postal_code,email
1,TX - Dallas,Dallas,TX,,
2,TX - Longview,Longview,TX,,
3,San Antonio-South,"","",,
4,Baton Rouge,"","",,
5,Tulsa,"","",,
6,TX - El Paso,El Paso,TX,,
7,NM - Albuquerque,Albuquerque,NM,,
8,TX - Corpus Christi,Corpus Christi,TX,,
9,Dallas,"","",,
10,LA - New Orleans,New Orleans,LA,,
11,TX - Waco,Waco,TX,,
12,Houston-North,"","",,
13,TX - CrashedToys Dallas,CrashedToys Dallas,TX,,
14,TX - Houston East,Houston East,TX,,
15,TX - San Antonio,San Antonio,TX,,
16,TX - Dallas South,Dallas South,TX,,
17,TX - Austin,Austin,TX,,
18,Dallas/Ft Worth,"","",,
19,Corpus Christi,"","",,
20,OK - Oklahoma City,Oklahoma City,OK,,
21,LA - Baton Rouge,Baton Rouge,LA,,
22,McAllen,"","",,
23,Austin,"","",,
24,Fort Worth North,"","",,
25,Houston,"","",,
26,Houston South,"","",,
27,TX - Ft. Worth,Ft. Worth,TX,,
28,New Orleans East,"","",,
29,Oklahoma City,"","",,
30,Lubbock,"","",,
31,Lafayette,"","",,
32,TX - McAllen,McAllen,TX,,
33,Longview,"","",,
34,TX - Lufkin,Lufkin,TX,,
35,El Paso,"","",,
36,TX - Andrews,Andrews,TX,,
37,OK - Tulsa,Tulsa,OK,,
38,ACE - Carson,Carson,ACE,,
39,ACE - Perris,Perris,ACE,,
40,ADESA Birmingham,"","",,
41,Akron-Canton,"","",,
42,Albany,"","",,
43,Altoona,"","",,
44,Anaheim,"","",,
45,Asheville,"","",,
46,Ashland,"","",,
47,Atlanta,"","",,
48,Atlanta East,"","",,
49,Atlanta North,"","",,
50,GA - ATLANTA SOUTH,ATLANTA SOUTH,GA,,
51,Avenel New Jersey,"","",,
52,Baltimore,"","",,
53,Birmingham,"","",,
54,Boston - Shirley,Shirley,Boston,,
55,Bowling Green,"","",,
56,Bridgeport,"","",,
57,Buckhannon,"","",,
58,Buffalo,"","",,
59,Burlington,"","",,
60,Central New Jersey,"","",,
61,Charleston,"","",,
62,Charlotte,"","",,
63,Chattanooga,"","",,
64,Chicago-North,"","",,
65,Chicago-South,"","",,
66,Chicago-West,"","",,
67,Cincinnati,"","",,
68,Cincinnati South,"","",,
69,Clearwater,"","",,
70,Cleveland,"","",,
71,Colton,"","",,
72,Columbia,"","",,
73,Columbus,"","",,
74,Concord,"","",,
75,Culpeper,"","",,
76,Davenport,"","",,
77,Dayton,"","",,
78,Denver,"","",,
79,Denver East,"","",,
80,Detroit,"","",,
81,Dothan,"","",,
82,Dundalk,"","",,
83,East Bay,"","",,
84,Erie,"","",,
85,Fargo,"","",,
86,Fayetteville,"","",,
87,Flint,"","",,
88,Fontana,"","",,
89,Fort Myers,"","",,
