id,terminal_id,destination_id,vehicle_type_id,price
1,1,1,1,700
2,1,1,2,700
3,1,1,3,700
4,1,1,4,700
5,1,2,1,600
6,1,2,2,350
7,1,2,3,600
8,1,2,4,350
9,9,3,1,1500
10,9,3,2,500
11,9,3,3,1500
12,9,3,4,500
13,1,3,1,600
14,1,3,2,350
15,1,3,3,600
16,1,3,4,350
17,2,3,1,1000
18,2,3,2,450
19,2,3,3,1000
20,2,3,4,450
21,6,3,1,600
22,6,3,2,350
23,6,3,3,600
24,6,3,4,350
25,4,3,1,450
26,4,3,2,350
27,4,3,3,450
28,4,3,4,350
29,3,3,1,450
30,3,3,2,350
31,3,3,3,450
32,3,3,4,350
33,2,1,1,1100
34,2,1,2,450
35,2,1,3,1100
36,2,1,4,450
37,6,1,1,650
38,6,1,2,350
39,6,1,3,650
40,6,1,4,350
41,10,1,1,550
42,10,1,2,350
43,10,1,3,550
44,10,1,4,350
45,4,1,1,550
46,4,1,2,350
47,4,1,3,550
48,4,1,4,350
49,3,1,1,550
50,3,1,2,350
51,3,1,3,550
52,3,1,4,350
53,9,1,1,1500
54,9,1,2,500
55,9,1,3,1500
56,9,1,4,500
57,5,1,1,775
58,5,1,2,350
59,5,1,3,775
60,5,1,4,350
61,5,2,1,550
62,5,2,2,350
63,5,2,3,550
64,5,2,4,350
65,2,2,1,1000
66,2,2,2,450
67,2,2,3,1000
68,2,2,4,450
69,6,2,1,600
70,6,2,2,350
71,6,2,3,600
72,6,2,4,350
73,4,2,1,450
74,4,2,2,350
75,4,2,3,450
76,4,2,4,350
77,3,2,1,450
78,3,2,2,350
79,3,2,3,450
80,3,2,4,350
81,9,2,1,1500
82,9,2,2,500
83,9,2,3,1500
84,9,2,4,500
